ID	C18-neg_Cluster_0045	C18-neg_Cluster_0064	C18-neg_Cluster_0079	C18-neg_Cluster_0144	C18-neg_Cluster_0354	C18-neg_Cluster_0361	C18-neg_Cluster_0472	C18-neg_Cluster_0490	C18-neg_Cluster_0506	C18-neg_Cluster_0731	C18-neg_Cluster_0832	C18-neg_Cluster_0833	C18-neg_Cluster_0900	C18-neg_Cluster_0927	C18-neg_Cluster_0930	C18-neg_Cluster_2021	C8-pos_Cluster_0264	C8-pos_Cluster_0277	C8-pos_Cluster_0288	C8-pos_Cluster_0338	C8-pos_Cluster_0341	C8-pos_Cluster_0416	C8-pos_Cluster_0478	C8-pos_Cluster_0878	C8-pos_Cluster_1004	C8-pos_Cluster_1490	C8-pos_Cluster_1758	HILIC-neg_Cluster_0003	HILIC-neg_Cluster_0013	HILIC-neg_Cluster_0030	HILIC-neg_Cluster_0033	HILIC-neg_Cluster_0049	HILIC-neg_Cluster_0064	HILIC-neg_Cluster_0082	HILIC-neg_Cluster_0085	HILIC-neg_Cluster_0087	HILIC-neg_Cluster_0122	HILIC-neg_Cluster_0123	HILIC-neg_Cluster_0125	HILIC-neg_Cluster_0166	HILIC-neg_Cluster_0181	HILIC-neg_Cluster_0187	HILIC-neg_Cluster_0220	HILIC-neg_Cluster_0296	HILIC-neg_Cluster_0321	HILIC-neg_Cluster_0365	HILIC-neg_Cluster_0372	HILIC-neg_Cluster_0401	HILIC-neg_Cluster_0707	HILIC-neg_Cluster_0740	HILIC-neg_Cluster_1126	HILIC-neg_Cluster_1303	HILIC-neg_Cluster_1360	HILIC-pos_Cluster_0007	HILIC-pos_Cluster_0032	HILIC-pos_Cluster_0038	HILIC-pos_Cluster_0062	HILIC-pos_Cluster_0090	HILIC-pos_Cluster_0114	HILIC-pos_Cluster_0121	HILIC-pos_Cluster_0184	HILIC-pos_Cluster_0246	HILIC-pos_Cluster_0254	HILIC-pos_Cluster_0298	HILIC-pos_Cluster_0374	HILIC-pos_Cluster_0379	HILIC-pos_Cluster_0384	HILIC-pos_Cluster_0419	HILIC-pos_Cluster_0446	HILIC-pos_Cluster_0447	HILIC-pos_Cluster_0453	HILIC-pos_Cluster_0540	HILIC-pos_Cluster_0822	HILIC-pos_Cluster_0906	HILIC-pos_Cluster_0936	HILIC-pos_Cluster_1113	HILIC-pos_Cluster_1486	HILIC-pos_Cluster_1673	HILIC-pos_Cluster_2052	HILIC-pos_Cluster_2093
G36386	0.000327810025469465	0.000130749760158708	5.08952539543478e-05	0.00012631775981436	0.000688842553520178	0.000307977523928562	0.00302160023476567	0.00447517534770236	0.000391062530383919	0.00267975020820536	0	0.0168997763130418	2.48760519327649e-05	1.28177009958816e-05	0.000125615759759818	0.000177200763767756	0.000157968262273472	0.000315715024529734	3.83985029834027e-05	1.48667511550842e-05	0.000109785508529874	0.00304987523696252	0.00313535024360357	3.30887525708573e-05	0.000112406008733476	0.000273455021246309	2.12731766528366e-05	0.000501945038999025	0.00181239014081512	0.00315817524537698	4.3601503387654e-05	0.000285815022206629	9.31577572379672e-05	0.000418562532520554	0.00522130040567315	6.22830048391284e-05	3.31005025717703e-05	0.000480120037303314	0.000185884514442447	0.00684607553191137	3.35495026066557e-05	0.00274105021296811	0	0.000873207567844567	0.00015203626181258	5.46920042493394e-05	0.000241447268759441	0.000128758760004016	3.29632525611065e-05	1.1053350858799e-06	0.00795055061772445	0.00443302534442748	0.00711007555242306	5.37445041757226e-05	2.09772516298445e-06	6.37085049498837e-06	0.00197543515348303	4.71655036645619e-05	6.70232552074259e-05	0.00353075027432449	5.96242546325546e-05	4.53872535263993e-06	1.42690261086435e-06	1.8900826468515e-05	0.000311807524226137	6.11470047508659e-05	3.82587529725447e-05	0.00050600503931447	4.37622534001436e-06	1.449537612623e-05	0	0.000288050022380279	1.08423258424033e-05	0.000128678259997761	8.20132563720862e-06	2.37839268479114e-05	2.27143767648118e-05	5.58527543395248e-05	8.87007568916769e-05	5.14715039991201e-05
G48796	0.000160332271581068	2.6496003566419e-05	4.18815056373407e-05	5.24367570581002e-05	5.94032579958062e-05	4.47615060249949e-06	5.86900078998012e-05	6.32260085103567e-06	0	0.000574595077341733	0	0.00812940109423486	8.76652617999327e-06	7.71950103906144e-06	2.26238780452226e-05	0.00036496504912508	8.63800116269353e-06	4.1334755563747e-06	6.54312588071881e-05	1.20907766274445e-05	1.39569768786391e-05	2.9866254020062e-05	0.00534265071913227	0.000122822266532141	7.43867600126178e-05	0.000109292764711041	1.53934270719884e-05	5.90660079504117e-05	0.000684795092174892	0.000844487613669848	2.05742277693353e-05	1.62501771873088e-05	0.00119010766019105	9.61585129431426e-05	2.63645035487189e-05	8.64865116412704e-06	1.46446519712016e-05	0.000242585032652467	8.72310117414817e-05	0.000900775121246268	3.60535048528793e-05	0.000264007535535982	0.000187934275296357	0.000117368015797987	3.48290046880589e-05	2.87555038705526e-05	0.000211680528492654	0.000113870015327149	0	1.89585275518586e-06	1.1314551522963e-05	0.00133748518002838	0.00196510776450773	4.89907565942612e-06	2.22987530014601e-05	7.86065105806053e-06	0.00116396015667154	1.51751770426115e-05	8.26982611313638e-06	0.000124069016699956	2.34612281579318e-05	0.000243771032812105	0.000148628270005685	2.09237778163855e-05	0.000313322542173888	2.63850035514782e-05	4.64365062504536e-05	4.5984756189647e-05	3.3292254481209e-06	6.06987581701833e-06	0	0.000192211775872118	9.18402623618968e-05	0.000168293022652603	0.000424635057156792	2.08707778092516e-05	2.59452534922869e-06	0.000180100274241884	0.000263802535508388	6.47367587137069e-05
G48780	0.000872127513541677	0.0003363200052221	0.000184371502862769	0.00012797050198702	0.00155934252421218	5.17172508030228e-05	0.00035192750546444	6.41750009964565e-05	8.16737512681626e-05	0.00233081503619097	0	0.0112407001745363	1.32803752062067e-05	0	6.75507510488723e-05	0.000454450007056325	6.61025010263851e-06	7.09357511014318e-06	3.71137505762717e-05	5.38482508361112e-05	4.90440007615148e-06	0.000247476753842615	0.00661962510278408	0.000192409002987568	0.000213177003310037	3.51855005463314e-05	2.62202504071264e-05	0.000371030005761048	0.00134585752089737	0.00225976003508769	3.86367505999196e-05	0.00137318002132161	0.000668782510384303	7.61807511828719e-05	0.0011913500184983	0.000597395009275857	4.94860007683778e-05	0.00150010752329243	0.000162270002519595	0.00693940010774928	0.00171340502660434	0.00311292504833493	0	0.000643157509986419	6.43055009984828e-05	0.000116946751815853	8.17277512690011e-05	8.72397513545869e-05	4.81545007477034e-05	2.4752025384329e-05	0.000121007001878897	0.00276742504297029	0.00125938501955469	7.71022511971801e-05	0	8.69397513499287e-05	0.000287837504469303	4.15772506455772e-05	3.01977504688858e-05	0.000413462506419905	5.41320008405171e-05	0.000334990005201448	0.000120670001873664	0.00023526750365304	5.80595009015e-05	0.000127159501974428	1.16746751812747e-05	0.000413042506413383	2.70517504200373e-05	5.35815008319693e-05	0	6.58157510219327e-05	9.30250014444155e-06	5.99145009303029e-05	0	1.05813751642989e-05	4.77292507411004e-06	0.00045640500708668	6.21542509650799e-05	7.93425012319649e-05
G36390	5.87969993961239e-05	1.88006748069072e-05	2.11048247832424e-05	6.73944993078231e-05	0.000173092498222249	0.000114225748826842	0.00138320748579373	0.000372822496170917	3.64139996260091e-05	0.00198006497966369	0.000415722495730312	0.0101029748962371	0.000298977496929344	0.000192825498019581	0.000616827493664858	1.41985998541729e-05	7.90567491880457e-05	3.21869996694226e-05	7.8438249194398e-05	3.46069996445679e-05	8.92572490832812e-06	2.70022497226727e-05	0.000498817494876882	8.91537490843442e-05	2.55079997380194e-05	0.000118535248782581	2.69424997232864e-06	8.76432490998578e-05	0.000585279993988867	0.000424052495644758	2.18002497761e-05	4.19874995687663e-05	3.64739996253929e-05	7.72642492064556e-05	0.000592089993918925	1.96701997979767e-05	1.95870997988302e-05	4.27409995610275e-05	6.16332493669942e-05	0.000853069991238523	4.40002495480943e-05	0.000101020498962466	1.37522248587574e-05	0.000100308748969776	4.84669995022185e-05	1.82978248120717e-05	0.000108837498882182	1.60711498349409e-05	0	1.84089998109299e-06	0.00198174247964646	0.00631884993510209	0.0085381999123082	8.38344991389757e-05	8.01954991763501e-06	0.0011158824885393	0.000811954991660796	5.8722999396884e-05	9.8378998989596e-05	0.000242762247506704	2.52582497405845e-05	0.000256737497363171	1.02714498945068e-05	0.000133612748627727	0.000297504996944467	3.82832496068109e-05	3.45147496455154e-05	0.000103167248940418	0.000232031247616917	6.36572493462066e-05	0	0.000140289498559153	5.63179994215846e-05	6.22849993603004e-05	7.40399992395703e-05	3.26169996650063e-05	0.000104966748921936	0.000254167497389566	0.00173947748213465	9.45259990291684e-06
G36356	0.00016681600004794	6.68435000192098e-05	6.86857500197393e-05	3.56242500102379e-05	0.000578677500166303	9.93135000285412e-05	0.000541440000155602	0.000273725000078664	7.92045000227622e-05	0.00262045000075308	0.000102090750029339	0.0146048000041972	0.000121537250034928	0.000126365500036316	0.000553320000159016	5.28170000151788e-06	0.000341360000098102	0.00016521475004748	2.90287500083424e-05	1.37429250039495e-05	0.000466637500134105	0.000544832500156577	0.000453245000130256	4.44887500127854e-05	8.32005000239106e-05	0.000270725000077802	4.41307500126825e-05	0.000854260000245501	0.00332630000095593	0.0023536225006764	1.82596250052475e-05	0.00197039750056626	8.45915000243103e-05	0.000262687500075492	7.95067500228491e-06	0.000934002500268418	3.46375000099543e-05	0.00134582250038677	0.000139835250040187	0.00528270000151817	4.06560000116839e-05	0.00370502500106477	1.74809500050238e-06	0.000349980000100579	0.000144254250041457	3.59372500103278e-05	0.00015477425004448	0.000265572500076322	0.000116459500033469	0.000113598000032646	0.000163694500047043	0.00568342500163333	0.00974647500280099	0.000127779250036722	0.000150196750043164	5.83077500167568e-05	0.00153402500044086	1.47217750042308e-05	6.37365000183169e-05	0.000732162500210413	5.78060000166126e-05	0.000703522500202182	7.89230000226813e-05	0.000269810000077539	0.000393335000113039	0.000142432250040933	3.41482500098137e-05	0.000200240500057546	0.000616027500177037	0.000155503500044689	0	0.000284072500081638	0.000239440750068812	0.000303967500087356	4.81650000138419e-05	8.1072500023299e-05	1.2881725003702e-05	0.000326512500093835	1.24101500035665e-05	0
G36387	2.10083983734363e-05	2.5686498011237e-06	2.26616482454344e-06	4.86039962368623e-06	0.000567932456028142	0.00149591238417981	0.000241722981284731	0.00121928240559773	0.00036146747201358	4.05167468630132e-06	0.00103372491996442	2.26533232460789e-05	0.004773724630397	0.00359019972203076	0.00651354949569201	0	0.00063951995048552	0.000116454990983536	6.99324945855151e-05	0.000280694978267346	0.000301782476634658	0.000921339928665763	6.91787446438737e-05	0.000107185491701222	0.000189259235346708	0.000698407445926188	6.51472449560104e-06	9.01764930181346e-05	0.000193897734987575	0.000244088731101564	7.98979938139418e-06	0.000163849487314044	0	3.5037497287241e-05	0.00283854978022684	0.000114967991098667	0.000218844733056067	0.000230071232186861	5.18277459872653e-06	0.00104247991928657	0	0.000456312464670258	3.44734973309084e-07	0.00018498123567793	3.39579973708207e-05	6.43694950162273e-06	0.000144738238793721	0	0	7.10767444969222e-06	0.00340299973652462	5.12637460309327e-06	0.000817599936697775	7.9803743821239e-05	0.000172300236659749	0.00016130098751136	0.000290254977527168	0.00184379985724481	0.00186230235581226	0	1.37860989326189e-06	0.000274444978751248	5.55772456969623e-05	7.75619939948053e-05	0.000918389928894165	4.50379965129579e-05	2.70984979019137e-05	2.60162479857063e-05	0.000323802474929771	0.000694409946235692	0.0147853988552486	0.000181678985933604	3.05724976329412e-06	0.000537104958414944	5.21764959602635e-05	0.000172701736628663	0.00139373489209084	0	0.00061444995242655	0
G48804	3.35677547793809e-05	9.93055141391308e-06	0	1.46654020880617e-05	0.00113126016106895	0.000263652537538879	0.000587242583611668	9.06437629058696e-05	2.11508280114574e-05	0	0.00116197516544216	3.11082544291969e-05	0.000626077589141001	0.000550822578426183	0.0143639270451376	0	7.2335760299174e-05	0	4.93942570327601e-05	0	3.61262551436605e-05	4.85082569066113e-05	6.59330093875496e-06	0.000874837624559484	2.22397281664951e-05	2.82077540162233e-05	5.43307577356197e-06	2.05684279285352e-05	6.89595098184631e-05	0	6.64892594667486e-05	3.71837552942274e-05	3.65565052049195e-06	4.43872563198628e-06	0.000102075264533488	4.74802567602445e-05	1.72218274520458e-05	1.82553775992028e-05	0	0.000151261271536598	0	0.000169557274141585	0	0	7.52905107198718e-05	8.01957614182819e-06	8.27935117881499e-05	0	2.82557540230576e-06	0	0.000290547541368193	0	0.000278065039590933	2.93030041721652e-05	0	1.61258772960043e-05	0	0.00506385072099166	0.000179479525554316	0	0	0.000353027550264104	3.20372545614681e-05	1.66119023652046e-05	8.5346762151682e-05	0.000445792563471998	2.7880753969665e-05	4.20897559927444e-05	4.04125057539373e-05	7.37757605042014e-05	0.000185008776341571	1.04036764812767e-05	2.9132754147925e-05	0.000152596271726675	9.50317635306337e-06	0.000241775534424029	0.000148850021193283	0	0.000209980529897053	0
G48815	8.08632646258903e-05	4.95805089677196e-05	2.23014790337103e-05	9.08382664300876e-05	0.000123667522367977	0.000370160066951545	2.65540048028726e-05	0.000333397560302242	7.23062630781694e-05	0.00146996526587537	0.000610917610497814	0.0139281525192111	0.003341525604388	0.000719907630211043	0.00431060077966645	0	8.2725514962719e-05	0.000190674534487661	5.34992596765114e-05	0.000332055060059421	0.000121711022014101	4.85282587773972e-05	0.00185640533577151	2.87560052011526e-05	6.62242619781064e-05	0.000220813539938959	1.00312518143713e-05	0.000380330068791013	0.000889285160846674	0.00113180020471083	2.02742286670378e-05	0.00100405518160534	4.57000082658462e-05	0.000365610066128578	0.00157183028429989	0.000156406028289452	2.94805053321943e-05	0.000477517586369501	0.000100095268104419	0.00305805055311534	6.06127609631437e-05	0.00120761771842408	6.5720261886947e-06	0.000132487273963222	0.000473902585715649	1.84224783321082e-05	0.000213550288625241	0.000889515160888275	8.74800158226745e-05	7.30700132163103e-06	0.00128748523286987	0.00302587554729578	0.0117553521262126	3.85227569676833e-05	2.48614294967334e-05	0.000961492673906983	0.00179516032469401	3.28037559332768e-05	0.000404720073202479	0.000258875046823215	2.18693289555465e-05	0.000730717632166268	6.72202621582548e-05	0.000103969018805071	0.000505770091479585	2.162160391074e-05	4.65580084210343e-05	5.09115092084601e-05	0.00023759454297417	4.90645088743897e-05	0	0.000216198539104235	4.93947589341227e-05	0.00012066702182527	2.97265053766888e-05	2.60697547152854e-05	0.000175779781793619	0.000518990093870711	2.57352546547838e-05	0
G36378	0.000300932512704001	0.000109522754623552	8.73775036886806e-05	1.38072255828782e-05	0.000223441759432694	0.000161346506811315	5.6093752368023e-05	0.000106635754501676	2.39486760110041e-05	0.00117916504977898	0.000763307532223371	0.00797337533659963	0.00129348255460495	0.000752400031762906	0.00405545017120265	4.1672751759234e-06	0.000153569256482995	5.07017521403973e-05	0.000165972757006615	3.73717515776653e-05	8.56137536142231e-05	0.000630157526602384	9.01707538065989e-05	2.02737758558666e-05	4.7254001994849e-05	3.41922514434413e-05	4.89210020652221e-06	0.000438502518511581	0.00293350012383903	0.000511465021591726	7.79765032918132e-05	0.00186384007868285	6.35222526816205e-06	0.000307565012983995	0.00275672511637639	0.000717317530281882	6.26227526436477e-05	0.00113152004776763	3.75927515869949e-05	0.00471950019923582	3.48935014730449e-05	0.00310145013092911	0	0.000402437516989081	0.000191710758093156	7.11590030040093e-05	0.00034286001447399	0.000108914254597864	0.000119909505062034	3.36747514215948e-05	0.000320802513542822	0.00316020013340927	0.00490617520711639	0.000192228508115013	0.000143427256054846	0.000899860037987996	0.0020232000854103	0.000118421754999228	1.22076505153515e-05	0.000765490032315506	6.30000026595735e-05	0.000527532522270023	0.000145095506125272	0.000118322004995017	0.00315042513299661	0.000271715011470571	8.5195253596556e-05	0.000270752511429939	0.000218444759221744	7.69767532496083e-05	3.80255016052637e-06	0.000432542518259977	5.90552524930441e-05	0.000226027759541864	0.000367265015504258	0.000158340756684426	1.58691006699212e-05	0	0.000214781259067087	2.62960011100975e-06
G36381	5.82952450111119e-05	2.14993981600885e-05	2.00672732826493e-05	4.68672459891163e-06	0.000165023735877322	0.000220136481160792	4.22734963822479e-05	0.000149043737244885	2.7492497647201e-05	0.000498222457362284	0.000870299925520015	0.00805007431107726	0.00484284958555051	0.00226062980653604	0.00611412447675521	0	0.00325404972151948	4.10052464907843e-05	2.43464479164389e-05	0.000109186990655813	0.00107302740817066	0.000379457467526153	8.26077429304562e-05	6.67444942880279e-05	0.000175844234951307	0.000518884955593994	0	0.000900499922935509	0.00195896733235221	0.00115436240121004	0.000399582465803862	0.000885874924187112	0.000232100480136916	0.000256872478016937	0.00196003483226086	0.000243286479179622	0.000264912477328876	0.000892729923600463	6.25662446456011e-05	0.00269462476939489	0.000322834972371888	0.0027425997652892	1.790249846791e-05	0.000326842472028927	0.000472417459570667	1.73726735132522e-05	4.65779960138702e-05	0.000281782475885147	0.000118823739831103	0.000110680740527978	0.000141374237901239	0.00091087492204762	0.00488797458168872	0.0004158849644087	1.44694237617114e-05	0.00112177990399844	0.00122885739483478	0.00073087493745196	0.00184972734170094	0.00339322470960893	4.84072458573236e-05	0.000520007455497931	6.42227445038384e-05	0.000223515730871596	0.00115071490152219	0.000968952417077367	4.9172995791791e-06	9.64137417489433e-05	6.37539945439539e-05	0.000268057477059728	1.69536735491101e-06	0.000727059937778447	0.00095197241853051	0.000165616485826595	3.11797473316474e-05	0.000211843231870525	4.88287458212518e-05	7.16047438720893e-05	0.000948159918856782	0
